date;dateHeure;tomcatSession;userSession
20140327;000010;1;1;
20140327;000027;2;2;
20140327;000029;10;1;
20140327;080029;25;23;
20140327;090029;22;22;
20140327;100029;10;10;
20140327;103029;3;3;
20140327;104029;10;10;
20140327;112029;50;50;
20140327;120029;10;1;
20140327;122129;20;0;
20140327;125629;20;0;
20140327;132129;10;10;
20140327;142129;20;15;
20140327;152129;20;15;
20140327;162129;20;15;
20140327;170000;30;5;
20140327;180000;10;0;
20140327;181000;20;0;
20140327;182000;20;0;
20140327;183000;10;0;
20140327;184000;20;10;
20140327;185000;10;9;
20140327;190000;20;10;
20140327;200000;0;0;
20140327;210000;0;0;
